,age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,date
0,58,management,married,tertiary,no,2143,yes,no,unknown,261,1,-1,0,unknown,2008-05-05
1,44,technician,single,secondary,no,29,yes,no,unknown,151,1,-1,0,unknown,2008-05-05
2,33,entrepreneur,married,secondary,no,2,yes,yes,unknown,76,1,-1,0,unknown,2008-05-05
3,47,blue-collar,married,unknown,no,1506,yes,no,unknown,92,1,-1,0,unknown,2008-05-05
4,33,unknown,single,unknown,no,1,no,no,unknown,198,1,-1,0,unknown,2008-05-05
5,35,management,married,tertiary,no,231,yes,no,unknown,139,1,-1,0,unknown,2008-05-05
6,28,management,single,tertiary,no,447,yes,yes,unknown,217,1,-1,0,unknown,2008-05-05
7,42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,380,1,-1,0,unknown,2008-05-05
8,58,retired,married,primary,no,121,yes,no,unknown,50,1,-1,0,unknown,2008-05-05
9,43,technician,single,secondary,no,593,yes,no,unknown,55,1,-1,0,unknown,2008-05-05
10,41,admin.,divorced,secondary,no,270,yes,no,unknown,222,1,-1,0,unknown,2008-05-05
11,29,admin.,single,secondary,no,390,yes,no,unknown,137,1,-1,0,unknown,2008-05-05
12,53,technician,married,secondary,no,6,yes,no,unknown,517,1,-1,0,unknown,2008-05-05
13,58,technician,married,unknown,no,71,yes,no,unknown,71,1,-1,0,unknown,2008-05-05
14,57,services,married,secondary,no,162,yes,no,unknown,174,1,-1,0,unknown,2008-05-05
15,51,retired,married,primary,no,229,yes,no,unknown,353,1,-1,0,unknown,2008-05-05
16,45,admin.,single,unknown,no,13,yes,no,unknown,98,1,-1,0,unknown,2008-05-05
17,57,blue-collar,married,primary,no,52,yes,no,unknown,38,1,-1,0,unknown,2008-05-05
18,60,retired,married,primary,no,60,yes,no,unknown,219,1,-1,0,unknown,2008-05-05
19,33,services,married,secondary,no,0,yes,no,unknown,54,1,-1,0,unknown,2008-05-05
20,28,blue-collar,married,secondary,no,723,yes,yes,unknown,262,1,-1,0,unknown,2008-05-05
21,56,management,married,tertiary,no,779,yes,no,unknown,164,1,-1,0,unknown,2008-05-05
22,32,blue-collar,single,primary,no,23,yes,yes,unknown,160,1,-1,0,unknown,2008-05-05
23,25,services,married,secondary,no,50,yes,no,unknown,342,1,-1,0,unknown,2008-05-05
24,40,retired,married,primary,no,0,yes,yes,unknown,181,1,-1,0,unknown,2008-05-05
25,44,admin.,married,secondary,no,-372,yes,no,unknown,172,1,-1,0,unknown,2008-05-05
26,39,management,single,tertiary,no,255,yes,no,unknown,296,1,-1,0,unknown,2008-05-05
27,52,entrepreneur,married,secondary,no,113,yes,yes,unknown,127,1,-1,0,unknown,2008-05-05
28,46,management,single,secondary,no,-246,yes,no,unknown,255,2,-1,0,unknown,2008-05-05
29,36,technician,single,secondary,no,265,yes,yes,unknown,348,1,-1,0,unknown,2008-05-05
30,57,technician,married,secondary,no,839,no,yes,unknown,225,1,-1,0,unknown,2008-05-05
31,49,management,married,tertiary,no,378,yes,no,unknown,230,1,-1,0,unknown,2008-05-05
32,60,admin.,married,secondary,no,39,yes,yes,unknown,208,1,-1,0,unknown,2008-05-05
33,59,blue-collar,married,secondary,no,0,yes,no,unknown,226,1,-1,0,unknown,2008-05-05
34,51,management,married,tertiary,no,10635,yes,no,unknown,336,1,-1,0,unknown,2008-05-05
35,57,technician,divorced,secondary,no,63,yes,no,unknown,242,1,-1,0,unknown,2008-05-05
36,25,blue-collar,married,secondary,no,-7,yes,no,unknown,365,1,-1,0,unknown,2008-05-05
37,53,technician,married,secondary,no,-3,no,no,unknown,1666,1,-1,0,unknown,2008-05-05
38,36,admin.,divorced,secondary,no,506,yes,no,unknown,577,1,-1,0,unknown,2008-05-05
39,37,admin.,single,secondary,no,0,yes,no,unknown,137,1,-1,0,unknown,2008-05-05
40,44,services,divorced,secondary,no,2586,yes,no,unknown,160,1,-1,0,unknown,2008-05-05
41,50,management,married,secondary,no,49,yes,no,unknown,180,2,-1,0,unknown,2008-05-05
42,60,blue-collar,married,unknown,no,104,yes,no,unknown,22,1,-1,0,unknown,2008-05-05
43,54,retired,married,secondary,no,529,yes,no,unknown,1492,1,-1,0,unknown,2008-05-05
44,58,retired,married,unknown,no,96,yes,no,unknown,616,1,-1,0,unknown,2008-05-05
45,36,admin.,single,primary,no,-171,yes,no,unknown,242,1,-1,0,unknown,2008-05-05
46,58,self-employed,married,tertiary,no,-364,yes,no,unknown,355,1,-1,0,unknown,2008-05-05
47,44,technician,married,secondary,no,0,yes,no,unknown,225,2,-1,0,unknown,2008-05-05
48,55,technician,divorced,secondary,no,0,no,no,unknown,160,1,-1,0,unknown,2008-05-05
49,29,management,single,tertiary,no,0,yes,no,unknown,363,1,-1,0,unknown,2008-05-05
50,54,blue-collar,married,secondary,no,1291,yes,no,unknown,266,1,-1,0,unknown,2008-05-05
51,48,management,divorced,tertiary,no,-244,yes,no,unknown,253,1,-1,0,unknown,2008-05-05
52,32,management,married,tertiary,no,0,yes,no,unknown,179,1,-1,0,unknown,2008-05-05
53,42,admin.,single,secondary,no,-76,yes,no,unknown,787,1,-1,0,unknown,2008-05-05
54,24,technician,single,secondary,no,-103,yes,yes,unknown,145,1,-1,0,unknown,2008-05-05
55,38,entrepreneur,single,tertiary,no,243,no,yes,unknown,174,1,-1,0,unknown,2008-05-05
56,38,management,single,tertiary,no,424,yes,no,unknown,104,1,-1,0,unknown,2008-05-05
57,47,blue-collar,married,unknown,no,306,yes,no,unknown,13,1,-1,0,unknown,2008-05-05
58,40,blue-collar,single,unknown,no,24,yes,no,unknown,185,1,-1,0,unknown,2008-05-05
59,46,services,married,primary,no,179,yes,no,unknown,1778,1,-1,0,unknown,2008-05-05
60,32,admin.,married,tertiary,no,0,yes,no,unknown,138,1,-1,0,unknown,2008-05-05
61,53,technician,divorced,secondary,no,989,yes,no,unknown,812,1,-1,0,unknown,2008-05-05
62,57,blue-collar,married,primary,no,249,yes,no,unknown,164,1,-1,0,unknown,2008-05-05
63,33,services,married,secondary,no,790,yes,no,unknown,391,1,-1,0,unknown,2008-05-05
64,49,blue-collar,married,unknown,no,154,yes,no,unknown,357,1,-1,0,unknown,2008-05-05
65,51,management,married,tertiary,no,6530,yes,no,unknown,91,1,-1,0,unknown,2008-05-05
66,60,retired,married,tertiary,no,100,no,no,unknown,528,1,-1,0,unknown,2008-05-05
67,59,management,divorced,tertiary,no,59,yes,no,unknown,273,1,-1,0,unknown,2008-05-05
68,55,technician,married,secondary,no,1205,yes,no,unknown,158,2,-1,0,unknown,2008-05-05
69,35,blue-collar,single,secondary,no,12223,yes,yes,unknown,177,1,-1,0,unknown,2008-05-05
70,57,blue-collar,married,secondary,no,5935,yes,yes,unknown,258,1,-1,0,unknown,2008-05-05
71,31,services,married,secondary,no,25,yes,yes,unknown,172,1,-1,0,unknown,2008-05-05
72,54,management,married,secondary,no,282,yes,yes,unknown,154,1,-1,0,unknown,2008-05-05
73,55,blue-collar,married,primary,no,23,yes,no,unknown,291,1,-1,0,unknown,2008-05-05
74,43,technician,married,secondary,no,1937,yes,no,unknown,181,1,-1,0,unknown,2008-05-05
75,53,technician,married,secondary,no,384,yes,no,unknown,176,1,-1,0,unknown,2008-05-05
76,44,blue-collar,married,secondary,no,582,no,yes,unknown,211,1,-1,0,unknown,2008-05-05
77,55,services,divorced,secondary,no,91,no,no,unknown,349,1,-1,0,unknown,2008-05-05
78,49,services,divorced,secondary,no,0,yes,yes,unknown,272,1,-1,0,unknown,2008-05-05
79,55,services,divorced,secondary,yes,1,yes,no,unknown,208,1,-1,0,unknown,2008-05-05
80,45,admin.,single,secondary,no,206,yes,no,unknown,193,1,-1,0,unknown,2008-05-05
81,47,services,divorced,secondary,no,164,no,no,unknown,212,1,-1,0,unknown,2008-05-05
82,42,technician,single,secondary,no,690,yes,no,unknown,20,1,-1,0,unknown,2008-05-05
83,59,admin.,married,secondary,no,2343,yes,no,unknown,1042,1,-1,0,unknown,2008-05-05
84,46,self-employed,married,tertiary,no,137,yes,yes,unknown,246,1,-1,0,unknown,2008-05-05
85,51,blue-collar,married,primary,no,173,yes,no,unknown,529,2,-1,0,unknown,2008-05-05
86,56,admin.,married,secondary,no,45,no,no,unknown,1467,1,-1,0,unknown,2008-05-05
87,41,technician,married,secondary,no,1270,yes,no,unknown,1389,1,-1,0,unknown,2008-05-05
88,46,management,divorced,secondary,no,16,yes,yes,unknown,188,2,-1,0,unknown,2008-05-05
89,57,retired,married,secondary,no,486,yes,no,unknown,180,2,-1,0,unknown,2008-05-05
90,42,management,single,secondary,no,50,no,no,unknown,48,1,-1,0,unknown,2008-05-05
91,30,technician,married,secondary,no,152,yes,yes,unknown,213,2,-1,0,unknown,2008-05-05
92,60,admin.,married,secondary,no,290,yes,no,unknown,583,1,-1,0,unknown,2008-05-05
93,60,blue-collar,married,unknown,no,54,yes,no,unknown,221,1,-1,0,unknown,2008-05-05
94,57,entrepreneur,divorced,secondary,no,-37,no,no,unknown,173,1,-1,0,unknown,2008-05-05
95,36,management,married,tertiary,no,101,yes,yes,unknown,426,1,-1,0,unknown,2008-05-05
96,55,blue-collar,married,secondary,no,383,no,no,unknown,287,1,-1,0,unknown,2008-05-05
97,60,retired,married,tertiary,no,81,yes,no,unknown,101,1,-1,0,unknown,2008-05-05
98,39,technician,married,secondary,no,0,yes,no,unknown,203,1,-1,0,unknown,2008-05-05
99,46,management,married,tertiary,no,229,yes,no,unknown,197,1,-1,0,unknown,2008-05-05
100,44,blue-collar,married,secondary,no,-674,yes,no,unknown,257,1,-1,0,unknown,2008-05-05
101,53,blue-collar,married,primary,no,90,no,no,unknown,124,1,-1,0,unknown,2008-05-05
102,52,blue-collar,married,primary,no,128,yes,no,unknown,229,1,-1,0,unknown,2008-05-05
103,59,blue-collar,married,primary,no,179,yes,no,unknown,55,3,-1,0,unknown,2008-05-05
104,27,technician,single,tertiary,no,0,yes,no,unknown,400,1,-1,0,unknown,2008-05-05
105,44,blue-collar,married,secondary,no,54,yes,no,unknown,197,1,-1,0,unknown,2008-05-05
106,47,technician,married,tertiary,no,151,yes,no,unknown,190,1,-1,0,unknown,2008-05-05
107,34,admin.,married,secondary,no,61,no,yes,unknown,21,1,-1,0,unknown,2008-05-05
108,59,retired,single,secondary,no,30,yes,no,unknown,514,1,-1,0,unknown,2008-05-05
109,45,management,married,tertiary,no,523,yes,no,unknown,849,2,-1,0,unknown,2008-05-05
110,29,services,divorced,secondary,no,31,yes,no,unknown,194,1,-1,0,unknown,2008-05-05
111,46,technician,divorced,secondary,no,79,no,no,unknown,144,1,-1,0,unknown,2008-05-05
112,56,self-employed,married,primary,no,-34,yes,yes,unknown,212,2,-1,0,unknown,2008-05-05
113,36,blue-collar,married,primary,no,448,yes,no,unknown,286,1,-1,0,unknown,2008-05-05
114,59,retired,divorced,primary,no,81,yes,no,unknown,107,1,-1,0,unknown,2008-05-05
115,44,blue-collar,married,secondary,no,144,yes,no,unknown,247,2,-1,0,unknown,2008-05-05
116,41,admin.,married,secondary,no,351,yes,no,unknown,518,1,-1,0,unknown,2008-05-05
117,33,management,single,tertiary,no,-67,yes,no,unknown,364,1,-1,0,unknown,2008-05-05
118,59,management,divorced,tertiary,no,262,no,no,unknown,178,1,-1,0,unknown,2008-05-05
119,57,technician,married,primary,no,0,no,no,unknown,98,1,-1,0,unknown,2008-05-05
120,56,technician,divorced,unknown,no,56,yes,no,unknown,439,1,-1,0,unknown,2008-05-05
121,51,blue-collar,married,secondary,no,26,yes,no,unknown,79,1,-1,0,unknown,2008-05-05
122,34,admin.,married,unknown,no,3,yes,no,unknown,120,3,-1,0,unknown,2008-05-05
123,43,services,married,secondary,no,41,yes,yes,unknown,127,2,-1,0,unknown,2008-05-05
124,52,technician,married,tertiary,no,7,no,yes,unknown,175,1,-1,0,unknown,2008-05-05
125,33,technician,single,secondary,no,105,yes,no,unknown,262,2,-1,0,unknown,2008-05-05
126,29,admin.,single,secondary,no,818,yes,yes,unknown,61,1,-1,0,unknown,2008-05-05
127,34,services,married,secondary,no,-16,yes,yes,unknown,78,1,-1,0,unknown,2008-05-05
128,31,blue-collar,married,secondary,no,0,yes,no,unknown,143,1,-1,0,unknown,2008-05-05
129,55,services,married,secondary,no,2476,yes,no,unknown,579,1,-1,0,unknown,2008-05-05
130,55,management,married,unknown,no,1185,no,no,unknown,677,1,-1,0,unknown,2008-05-05
131,32,admin.,single,secondary,no,217,yes,no,unknown,345,1,-1,0,unknown,2008-05-05
132,38,technician,single,secondary,no,1685,yes,no,unknown,185,1,-1,0,unknown,2008-05-05
133,55,admin.,single,secondary,no,802,yes,yes,unknown,100,2,-1,0,unknown,2008-05-05
134,28,unemployed,single,tertiary,no,0,yes,no,unknown,125,2,-1,0,unknown,2008-05-05
135,23,blue-collar,married,secondary,no,94,yes,no,unknown,193,1,-1,0,unknown,2008-05-05
136,32,technician,single,secondary,no,0,yes,no,unknown,136,1,-1,0,unknown,2008-05-05
137,43,services,single,unknown,no,0,no,no,unknown,73,1,-1,0,unknown,2008-05-05
138,32,blue-collar,married,secondary,no,517,yes,no,unknown,528,1,-1,0,unknown,2008-05-05
139,46,blue-collar,married,secondary,no,265,yes,no,unknown,541,1,-1,0,unknown,2008-05-05
140,53,housemaid,divorced,primary,no,947,yes,no,unknown,163,1,-1,0,unknown,2008-05-05
141,34,self-employed,single,secondary,no,3,yes,no,unknown,301,1,-1,0,unknown,2008-05-05
142,57,unemployed,married,tertiary,no,42,no,no,unknown,46,1,-1,0,unknown,2008-05-05
143,37,blue-collar,married,secondary,no,37,yes,no,unknown,204,1,-1,0,unknown,2008-05-05
144,59,blue-collar,married,secondary,no,57,yes,no,unknown,98,1,-1,0,unknown,2008-05-05
145,33,services,married,secondary,no,22,yes,no,unknown,71,1,-1,0,unknown,2008-05-05
146,56,blue-collar,divorced,primary,no,8,yes,no,unknown,157,2,-1,0,unknown,2008-05-05
147,48,unemployed,married,secondary,no,293,yes,no,unknown,243,1,-1,0,unknown,2008-05-05
148,43,services,married,primary,no,3,yes,no,unknown,186,2,-1,0,unknown,2008-05-05
149,54,blue-collar,married,primary,no,348,yes,no,unknown,579,2,-1,0,unknown,2008-05-05
150,51,blue-collar,married,unknown,no,-19,yes,no,unknown,163,2,-1,0,unknown,2008-05-05
151,26,student,single,secondary,no,0,yes,no,unknown,610,2,-1,0,unknown,2008-05-05
152,40,management,married,tertiary,no,-4,yes,no,unknown,2033,1,-1,0,unknown,2008-05-05
153,39,management,married,secondary,no,18,yes,no,unknown,85,1,-1,0,unknown,2008-05-05
154,50,technician,married,primary,no,139,no,no,unknown,114,2,-1,0,unknown,2008-05-05
155,41,services,married,secondary,no,0,yes,no,unknown,114,2,-1,0,unknown,2008-05-05
156,51,blue-collar,married,unknown,no,1883,yes,no,unknown,57,1,-1,0,unknown,2008-05-05
157,60,retired,divorced,secondary,no,216,yes,no,unknown,238,1,-1,0,unknown,2008-05-05
158,52,blue-collar,married,secondary,no,782,yes,no,unknown,93,3,-1,0,unknown,2008-05-05
159,48,blue-collar,married,secondary,no,904,yes,no,unknown,128,2,-1,0,unknown,2008-05-05
160,48,services,married,unknown,no,1705,yes,no,unknown,107,1,-1,0,unknown,2008-05-05
161,39,technician,single,tertiary,no,47,yes,no,unknown,181,1,-1,0,unknown,2008-05-05
162,47,services,single,secondary,no,176,yes,no,unknown,303,2,-1,0,unknown,2008-05-05
163,40,blue-collar,married,secondary,no,1225,yes,no,unknown,558,5,-1,0,unknown,2008-05-05
164,45,technician,married,secondary,no,86,yes,no,unknown,270,1,-1,0,unknown,2008-05-05
165,26,admin.,single,secondary,no,82,yes,no,unknown,228,1,-1,0,unknown,2008-05-05
166,52,management,married,tertiary,no,271,yes,no,unknown,99,1,-1,0,unknown,2008-05-05
167,54,technician,married,secondary,no,1378,yes,no,unknown,240,1,-1,0,unknown,2008-05-05
168,54,admin.,married,tertiary,no,184,no,no,unknown,673,2,-1,0,unknown,2008-05-05
169,50,blue-collar,married,primary,no,0,no,no,unknown,233,3,-1,0,unknown,2008-05-05
170,35,blue-collar,married,secondary,no,0,yes,no,unknown,1056,1,-1,0,unknown,2008-05-05
171,44,services,married,secondary,no,1357,yes,yes,unknown,250,1,-1,0,unknown,2008-05-05
172,53,entrepreneur,married,unknown,no,19,yes,no,unknown,252,1,-1,0,unknown,2008-05-05
173,35,retired,single,primary,no,434,no,no,unknown,138,1,-1,0,unknown,2008-05-05
174,60,admin.,divorced,secondary,no,92,yes,no,unknown,130,1,-1,0,unknown,2008-05-05
175,53,admin.,divorced,secondary,no,1151,yes,no,unknown,412,1,-1,0,unknown,2008-05-05
176,48,unemployed,married,secondary,no,41,yes,no,unknown,179,2,-1,0,unknown,2008-05-05
177,34,technician,married,secondary,no,51,yes,no,unknown,19,2,-1,0,unknown,2008-05-05
178,54,services,married,secondary,no,214,yes,no,unknown,458,2,-1,0,unknown,2008-05-05
179,51,management,married,secondary,no,1161,yes,no,unknown,717,1,-1,0,unknown,2008-05-05
180,31,services,married,tertiary,no,37,yes,no,unknown,313,1,-1,0,unknown,2008-05-05
181,35,technician,divorced,secondary,no,787,yes,no,unknown,683,2,-1,0,unknown,2008-05-05
182,35,services,married,secondary,no,59,yes,no,unknown,1077,1,-1,0,unknown,2008-05-05
183,38,technician,married,secondary,no,253,yes,no,unknown,416,1,-1,0,unknown,2008-05-05
184,36,admin.,married,tertiary,no,211,yes,no,unknown,146,2,-1,0,unknown,2008-05-05
185,58,retired,married,primary,no,235,yes,no,unknown,167,1,-1,0,unknown,2008-05-05
186,40,services,divorced,unknown,no,4384,yes,no,unknown,315,1,-1,0,unknown,2008-05-05
187,54,management,married,secondary,no,4080,no,no,unknown,140,1,-1,0,unknown,2008-05-05
188,34,blue-collar,single,secondary,no,53,yes,yes,unknown,346,1,-1,0,unknown,2008-05-05
189,31,management,single,tertiary,no,0,yes,no,unknown,562,1,-1,0,unknown,2008-05-05
190,51,retired,married,secondary,no,2127,yes,no,unknown,172,1,-1,0,unknown,2008-05-05
191,33,management,married,tertiary,no,377,yes,no,unknown,217,1,-1,0,unknown,2008-05-05
192,55,management,married,tertiary,no,73,yes,no,unknown,142,2,-1,0,unknown,2008-05-05
193,42,admin.,married,secondary,no,445,yes,no,unknown,67,1,-1,0,unknown,2008-05-05
194,34,blue-collar,married,secondary,no,243,yes,no,unknown,291,1,-1,0,unknown,2008-05-05
195,33,blue-collar,single,secondary,no,307,yes,no,unknown,309,2,-1,0,unknown,2008-05-05
196,38,services,married,secondary,no,155,yes,no,unknown,248,1,-1,0,unknown,2008-05-05
197,50,technician,divorced,tertiary,no,173,no,yes,unknown,98,1,-1,0,unknown,2008-05-05
198,43,management,married,tertiary,no,400,yes,no,unknown,256,1,-1,0,unknown,2008-05-05
199,61,blue-collar,divorced,primary,no,1428,yes,no,unknown,82,2,-1,0,unknown,2008-05-05
200,47,admin.,married,secondary,no,219,yes,no,unknown,577,1,-1,0,unknown,2008-05-05
201,48,self-employed,married,tertiary,no,7,yes,no,unknown,286,1,-1,0,unknown,2008-05-05
202,44,blue-collar,married,secondary,no,575,yes,no,unknown,477,1,-1,0,unknown,2008-05-05
203,35,student,single,unknown,no,298,yes,no,unknown,611,2,-1,0,unknown,2008-05-05
204,35,services,married,secondary,no,0,yes,no,unknown,471,1,-1,0,unknown,2008-05-05
205,50,services,married,secondary,no,5699,yes,no,unknown,381,2,-1,0,unknown,2008-05-05
206,41,management,married,tertiary,no,176,yes,yes,unknown,42,1,-1,0,unknown,2008-05-05
207,41,management,married,tertiary,no,517,yes,no,unknown,251,1,-1,0,unknown,2008-05-05
208,39,services,single,unknown,no,257,yes,no,unknown,408,1,-1,0,unknown,2008-05-05
209,42,retired,married,secondary,no,56,yes,no,unknown,215,1,-1,0,unknown,2008-05-05
210,38,blue-collar,married,secondary,no,-390,yes,no,unknown,287,1,-1,0,unknown,2008-05-05
211,53,retired,married,secondary,no,330,yes,no,unknown,216,2,-1,0,unknown,2008-05-05
212,59,housemaid,divorced,primary,no,195,no,no,unknown,366,2,-1,0,unknown,2008-05-05
213,36,services,married,secondary,no,301,yes,no,unknown,210,1,-1,0,unknown,2008-05-05
214,54,blue-collar,married,primary,no,-41,yes,no,unknown,288,1,-1,0,unknown,2008-05-05
215,40,technician,married,tertiary,no,483,yes,no,unknown,168,1,-1,0,unknown,2008-05-05
216,47,unknown,married,unknown,no,28,no,no,unknown,338,2,-1,0,unknown,2008-05-05
217,53,unemployed,married,unknown,no,13,no,no,unknown,410,3,-1,0,unknown,2008-05-05
218,46,housemaid,married,primary,no,965,no,no,unknown,177,1,-1,0,unknown,2008-05-05
219,39,management,married,tertiary,no,378,yes,yes,unknown,127,2,-1,0,unknown,2008-05-05
220,40,unemployed,married,secondary,no,219,yes,no,unknown,357,1,-1,0,unknown,2008-05-05
221,28,blue-collar,married,primary,no,324,yes,no,unknown,175,1,-1,0,unknown,2008-05-05
222,35,entrepreneur,divorced,secondary,no,-69,yes,no,unknown,300,1,-1,0,unknown,2008-05-05
223,55,retired,married,secondary,no,0,no,yes,unknown,136,1,-1,0,unknown,2008-05-05
224,43,technician,divorced,unknown,no,205,yes,no,unknown,1419,1,-1,0,unknown,2008-05-05
225,48,blue-collar,married,primary,no,278,yes,no,unknown,125,2,-1,0,unknown,2008-05-05
226,58,management,married,unknown,no,1065,yes,no,unknown,213,3,-1,0,unknown,2008-05-05
227,33,management,single,tertiary,no,34,yes,no,unknown,27,1,-1,0,unknown,2008-05-05
228,36,blue-collar,married,unknown,no,1033,no,no,unknown,238,2,-1,0,unknown,2008-05-05
229,53,services,divorced,secondary,no,1467,yes,no,unknown,124,1,-1,0,unknown,2008-05-05
230,47,blue-collar,married,primary,no,-12,yes,no,unknown,18,1,-1,0,unknown,2008-05-05
231,31,services,married,secondary,no,388,yes,no,unknown,730,2,-1,0,unknown,2008-05-05
232,57,entrepreneur,married,secondary,no,294,yes,no,unknown,746,2,-1,0,unknown,2008-05-05
233,53,blue-collar,married,unknown,no,1827,no,no,unknown,121,1,-1,0,unknown,2008-05-05
234,55,blue-collar,married,primary,no,627,yes,no,unknown,247,1,-1,0,unknown,2008-05-05
235,45,blue-collar,married,primary,no,25,yes,no,unknown,40,1,-1,0,unknown,2008-05-05
236,53,admin.,divorced,secondary,no,315,yes,no,unknown,181,2,-1,0,unknown,2008-05-05
237,37,blue-collar,married,primary,no,0,yes,no,unknown,79,1,-1,0,unknown,2008-05-05
238,44,admin.,divorced,secondary,no,66,yes,no,unknown,206,1,-1,0,unknown,2008-05-05
239,49,blue-collar,divorced,primary,no,-9,yes,yes,unknown,389,1,-1,0,unknown,2008-05-05
240,46,technician,married,secondary,no,349,yes,yes,unknown,127,1,-1,0,unknown,2008-05-05
241,43,entrepreneur,married,unknown,no,100,yes,no,unknown,702,1,-1,0,unknown,2008-05-05
242,38,admin.,married,secondary,no,0,no,no,unknown,151,1,-1,0,unknown,2008-05-05
243,43,technician,married,secondary,no,434,yes,no,unknown,117,1,-1,0,unknown,2008-05-05
244,49,management,married,tertiary,no,3237,yes,no,unknown,232,3,-1,0,unknown,2008-05-05
245,42,management,married,unknown,no,275,no,no,unknown,408,2,-1,0,unknown,2008-05-05
246,22,blue-collar,single,secondary,no,0,yes,no,unknown,179,2,-1,0,unknown,2008-05-05
247,40,management,married,tertiary,no,207,yes,no,unknown,39,1,-1,0,unknown,2008-05-05
248,39,blue-collar,married,secondary,no,483,yes,no,unknown,282,1,-1,0,unknown,2008-05-05
249,51,services,married,secondary,no,2248,yes,no,unknown,714,2,-1,0,unknown,2008-05-05
250,49,admin.,married,secondary,no,428,yes,no,unknown,50,1,-1,0,unknown,2008-05-05
251,53,blue-collar,married,secondary,no,0,yes,yes,unknown,181,1,-1,0,unknown,2008-05-05
252,34,services,single,secondary,no,0,yes,no,unknown,142,1,-1,0,unknown,2008-05-05
